Dairy,Vegetables,Fruits,Grains & Cereals,Pulses & Lentils,Meat,Seafood,Bakery,Beverages,Snacks,Spices(Masalas) & Condiments,Frozen Foods,Canned & Packaged,Oils & Fats,Sweeteners,Personal Care,Household
milk,amaranth leaves,apple,amaranth,adzuki beans,alligator ,anchovy,bread,tea,chips,salt,frozen peas,canned beans,sunflower oil,sugar,soap,detergent
ayran,anise,apricot,barley,anasazi beans,antelope,abalone,buns,coffee,biscuits,pepper,frozen corn,canned corn,olive oil,jaggery,shampoo,dishwash liquid
beurre de baratte,artichoke,avocado,buckwheat,black beans,bacon ,barracuda ,cake,fruit juice,namkeen,turmeric,frozen nuggets,instant noodles,ghee,honey,toothpaste,floor cleaner
buttermilk,arugula,banana,bulgur,black-eyed peas,beef,basa ,cookies,soft drink,popcorn,chilli powder,frozen fries,pasta,butter,maple syrup,conditioner,toilet cleaner
camel milk,asparagus,blackberry,corn,cannellini beans,bison ,black cod ,pastry,energy drink,nachos,cumin,,soup,,caramel,face wash,tissues
casein,ash gourd,blueberry,einkorn,chickpeas (garbanzo beans),blood sausage ,bluefish ,croissant,milkshake,crackers,coriander,,sauce,,,body lotion,sponges
clotted cream,bamboo shoots,boysenberry,farro,cocoa beans,boar ,bream ,puffs,,muffins,garam masala,,maggi,,,powder,
cream cheese,banana blossom,breadfruit,fonio,coffee beans,bresaola ,butterfish,muffins,,cupcakes,chicken masala,,,,,,
cultured butter,basil,cantaloupe,freekeh,cranberry beans,buffalo ,catfish ,cupcakes,,chocolate,fish masala,,,,,,
dry milk (powdered),bean sprouts,cherimoya,kamut,fava beans,camel ,clam ,,,,oregano,,,,,,
evaporated milk,beet greens,cherry,kañiwa,edamame,capybara ,cod ,,,,chilli flakes,,,,,,
feta,beetroot,clementine,millet,fayot (flageolet) beans,carabeef (buffalo),crab ,,,,pizza mix,,,,,,
ghee,bell pepper,coconut,oats,french green bean,chicken ,crawfish ,,,,,,,,,,
goat milk,bitter gourd,cranberry,quinoa,gigante beans,chorizo ,cuttlefish,,,,,,,,,,
cheese,bok choy,custard apple,rice,great northern beans,corned beef ,dogfish ,,,,,,,,,,
ice cream,borage,date,rye,kidney beans,chevon (goat),dorade,,,,,,,,,,
kaymak,broccoli,dragon fruit,sorghum,lentils,deer (venison),eel,,,,,,,,,,
kefir,broccolini,durian,spelt,lima,duck,flounder ,,,,,,,,,,
malai,brussels sprouts,elderberry,te?,long beans,elk,fugu (pufferfish),,,,,,,,,,
mascarpone,burdock root,fig,triticale,marrowfat peas,frog legs,grouper ,,,,,,,,,,
mozzarella,butterhead lettuce,gooseberry,wheat,mung beans,goat ,geoduck,,,,,,,,,,
paneer,butternut squash,grape,wild rice,navy beans,goose ,haddock ,,,,,,,,,,
queso fresco,cabbage,grapefruit,,peas,guanciale,hake ,,,,,,,,,,
raw milk,cardoon,guava,,pinto beans,ham ,halibut ,,,,,,,,,,
ricotta,carrot,honeydew melon,,purple string beans,hare,herring,,,,,,,,,,
roquefort,cassava leaves,jackfruit,,snap peas,horse meat,ilish (hilsa),,,,,,,,,,
sheep milk,cauliflower,jujube,,snow peas,iberico ham,john dory ,,,,,,,,,,
sour cream,celeriac,kiwi,,soybeans,jerked meat,jellyfish,,,,,,,,,,
triple-crème,celery,kumquat,,split peas,kangaroo ,king crab ,,,,,,,,,,
viili,celery leaves,lemon,,,kielbasa ,kingklip,,,,,,,,,,
whey,chayote,lime,,,kid (goat),lobster ,,,,,,,,,,
whipped cream,chicory,lychee,,,lamb ,lingcod,,,,,,,,,,
yak butter/milk,chinese cabbage,mandarin,,,liverwurst,mackerel ,,,,,,,,,,
yogurt,chives,mango,,,meatball ,mahi mahi ,,,,,,,,,,
curd,cluster beans,mangosteen,,,merguez ,monkfish,,,,,,,,,,
cream,collard greens,mulberry,,,mortadella,mussel ,,,,,,,,,,
,coriander leaves,nectarine,,,mutton,mullet,,,,,,,,,,
,corn,orange,,,nduja,octopus,,,,,,,,,,
,courgette,papaya,,,ostrich ,orange roughy,,,,,,,,,,
,cucumber,passion fruit,,,osso buco (veal shank),oysters,,,,,,,,,,
,dandelion greens,peach,,,pastrami ,perch,,,,,,,,,,
,daikon,pear,,,pheasant ,pike ,,,,,,,,,,
,drumstick leaves,persimmon,,,pork ,pollock ,,,,,,,,,,
,eggplant,pineapple,,,prosciutto,pomfret ,,,,,,,,,,
,endive,plum,,,pancetta,pompano ,,,,,,,,,,
,escarole,pomegranate,,,quail,prawn,,,,,,,,,,
,fennel,pomelo,,,rabbit ,redfish ,,,,,,,,,,
,fiddlehead fern,quince,,,ribs ,rockfish,,,,,,,,,,
,galangal,raspberry,,,rillettes,salmon ,,,,,,,,,,
,garlic,redcurrant,,,salami ,sardine ,,,,,,,,,,
,garlic chives,star fruit,,,sausage ,scallop ,,,,,,,,,,
,ginger,strawberry,,,squab ,sea bass ,,,,,,,,,,
,grape leaves,tangerine,,,suckling pig,sea bream ,,,,,,,,,,
,green beans,ugli fruit,,,tasso ham ,shrimp ,,,,,,,,,,
,green onions,watermelon,,,tongue ,squid ,,,,,,,,,,
,horseradish,white currant,,,turkey,swordfish ,,,,,,,,,,
,hyacinth bean,ackee,,,uguisu (regional/game),smelt ,,,,,,,,,,
,iceberg lettuce,african cucumber,,,veal ,snapper,,,,,,,,,,
,jerusalem artichoke,bael,,,venison,tilapia ,,,,,,,,,,
,jicama,bilberry,,,wagyu beef,tilefish ,,,,,,,,,,
,kale,blood orange,,,wild boar  ,trout ,,,,,,,,,,
,kohlrabi,breadnut,,,egg,"tuna (albacore, bluefin, yellowfin)",,,,,,,,,,
,komatsuna,calamondin,,,,urchin (sea urchin),,,,,,,,,,
,leek,canistel,,,,wahoo ,,,,,,,,,,
,lemongrass,cape gooseberry,,,,whitefish ,,,,,,,,,,
,lettuce,carambola,,,,whiting,,,,,,,,,,
,lotus root,cashew apple,,,,yellowtail ,,,,,,,,,,
,malabar spinach,chayote,,,,,,,,,,,,,,
,mallow leaves,cloudberry,,,,,,,,,,,,,,
,methi leaves,cupuacu,,,,,,,,,,,,,,
,mint,feijoa,,,,,,,,,,,,,,
,moringa leaves,huckleberry,,,,,,,,,,,,,,
,mustard greens,imbe,,,,,,,,,,,,,,
,napa cabbage,indian fig,,,,,,,,,,,,,,
,nettle,indian gooseberry,,,,,,,,,,,,,,
,okra,jabuticaba,,,,,,,,,,,,,,
,olive (culinary vegetable use),juneberry,,,,,,,,,,,,,,
,onion,kaffir lime,,,,,,,,,,,,,,
,oregano,langsat,,,,,,,,,,,,,,
,parsley,longan,,,,,,,,,,,,,,
,parsnip,loquat,,,,,,,,,,,,,,
,pattypan squash,malay apple,,,,,,,,,,,,,,
,pea shoots,mammee apple,,,,,,,,,,,,,,
,peppers,marionberry,,,,,,,,,,,,,,
,perilla leaves,medlar,,,,,,,,,,,,,,
,pointed gourd,miracle fruit,,,,,,,,,,,,,,
,potato,monk fruit,,,,,,,,,,,,,,
,pumpkin,mountain papaya,,,,,,,,,,,,,,
,purslane,naranjilla,,,,,,,,,,,,,,
,radicchio,olallieberry,,,,,,,,,,,,,,
,radish,plantain,,,,,,,,,,,,,,
,rapini,prickly pear,,,,,,,,,,,,,,
,rhubarb,rambutan,,,,,,,,,,,,,,
,romanesco,rose apple,,,,,,,,,,,,,,
,romaine lettuce,salak,,,,,,,,,,,,,,
,rutabaga,santol,,,,,,,,,,,,,,
,sea beet,sapodilla,,,,,,,,,,,,,,
,sea lettuce,satsuma,,,,,,,,,,,,,,
,seaweed,serviceberry,,,,,,,,,,,,,,
,shallot,soursop,,,,,,,,,,,,,,
,skirret,surinam cherry,,,,,,,,,,,,,,
,snake gourd,tamarind,,,,,,,,,,,,,,
,sorrel,yuzu,,,,,,,,,,,,,,
,soybean sprouts,,,,,,,,,,,,,,,
,spinach,,,,,,,,,,,,,,,
,spring onion,,,,,,,,,,,,,,,
,squash,,,,,,,,,,,,,,,
,sweet potato leaves,,,,,,,,,,,,,,,
,swiss chard,,,,,,,,,,,,,,,
,taro leaves,,,,,,,,,,,,,,,
,taro root,,,,,,,,,,,,,,,
,tomatillo,,,,,,,,,,,,,,,
,tomato,,,,,,,,,,,,,,,
,turnip,,,,,,,,,,,,,,,
,turnip greens,,,,,,,,,,,,,,,
,water chestnut,,,,,,,,,,,,,,,
,water spinach,,,,,,,,,,,,,,,
,wax gourd,,,,,,,,,,,,,,,
,white radish,,,,,,,,,,,,,,,
,winged bean,,,,,,,,,,,,,,,
,yam leaves,,,,,,,,,,,,,,,
,yam root,,,,,,,,,,,,,,,
,zucchini,,,,,,,,,,,,,,,
